,ID,Name,Image URL,Description,Height,Weight,Categoty,Abilities,Type,Weaknesses,Stats
0,1,Bulbasaur,https://assets.pokemon.com/assets/cms2/img/pokedex/full/001.png,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.,"2' 04""",15.2 lbs,Seed,['Overgrow'],"['Grass', 'Poison']","['Fire', 'Psychic', 'Flying', 'Ice']","{'HP': 3, 'Attack': 3, 'Defense': 3, 'Special Attack': 4, 'Special Defense': 4, 'Speed': 3}"
1,2,Ivysaur,https://assets.pokemon.com/assets/cms2/img/pokedex/full/002.png,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.","3' 03""",28.7 lbs,Seed,['Overgrow'],"['Grass', 'Poison']","['Fire', 'Psychic', 'Flying', 'Ice']","{'HP': 4, 'Attack': 4, 'Defense': 4, 'Special Attack': 5, 'Special Defense': 5, 'Speed': 4}"
2,3,Venusaur,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003.png,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,"6' 07""",220.5 lbs,Seed,['Overgrow'],"['Grass', 'Poison']","['Fire', 'Psychic', 'Flying', 'Ice']","{'HP': 5, 'Attack': 5, 'Defense': 5, 'Special Attack': 6, 'Special Defense': 6, 'Speed': 5}"
3,4,Charmander,https://assets.pokemon.com/assets/cms2/img/pokedex/full/004.png,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.","2' 00""",18.7 lbs,Lizard,['Blaze'],['Fire'],"['Water', 'Ground', 'Rock']","{'HP': 3, 'Attack': 4, 'Defense': 3, 'Special Attack': 4, 'Special Defense': 3, 'Speed': 4}"
4,5,Charmeleon,https://assets.pokemon.com/assets/cms2/img/pokedex/full/005.png,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.","3' 07""",41.9 lbs,Flame,['Blaze'],['Fire'],"['Water', 'Ground', 'Rock']","{'HP': 4, 'Attack': 4, 'Defense': 4, 'Special Attack': 5, 'Special Defense': 4, 'Speed': 5}"
5,6,Charizard,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png,It is said that Charizard’s fire burns hotter if it has experienced harsh battles.,"5' 07""",199.5 lbs,Flame,['Blaze'],"['Fire', 'Flying']","['Water', 'Electric', 'Rock']","{'HP': 5, 'Attack': 5, 'Defense': 5, 'Special Attack': 7, 'Special Defense': 5, 'Speed': 6}"
6,7,Squirtle,https://assets.pokemon.com/assets/cms2/img/pokedex/full/007.png,"When it retracts its long neck into its shell, it squirts out water with vigorous force.","1' 08""",19.8 lbs,Tiny Turtle,['Torrent'],['Water'],"['Grass', 'Electric']","{'HP': 3, 'Attack': 3, 'Defense': 4, 'Special Attack': 3, 'Special Defense': 4, 'Speed': 3}"
7,8,Wartortle,https://assets.pokemon.com/assets/cms2/img/pokedex/full/008.png,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old.","3' 03""",49.6 lbs,Turtle,['Torrent'],['Water'],"['Grass', 'Electric']","{'HP': 4, 'Attack': 4, 'Defense': 5, 'Special Attack': 4, 'Special Defense': 5, 'Speed': 4}"
8,9,Blastoise,https://assets.pokemon.com/assets/cms2/img/pokedex/full/009.png,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.","5' 03""",188.5 lbs,Shellfish,['Torrent'],['Water'],"['Grass', 'Electric']","{'HP': 5, 'Attack': 5, 'Defense': 6, 'Special Attack': 5, 'Special Defense': 7, 'Speed': 5}"
9,10,Caterpie,https://assets.pokemon.com/assets/cms2/img/pokedex/full/010.png,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies.","1' 00""",6.4 lbs,Worm,['Shield Dust'],['Bug'],"['Fire', 'Flying', 'Rock']","{'HP': 3, 'Attack': 2, 'Defense': 3, 'Special Attack': 2, 'Special Defense': 2, 'Speed': 3}"
10,11,Metapod,https://assets.pokemon.com/assets/cms2/img/pokedex/full/011.png,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack.","2' 04""",21.8 lbs,Cocoon,['Shed Skin'],['Bug'],"['Fire', 'Flying', 'Rock']","{'HP': 3, 'Attack': 2, 'Defense': 4, 'Special Attack': 2, 'Special Defense': 2, 'Speed': 2}"
11,12,Butterfree,https://assets.pokemon.com/assets/cms2/img/pokedex/full/012.png,It loves the nectar of flowers and can locate flower patches that have even tiny amounts of pollen.,"3' 07""",70.5 lbs,Butterfly,['Compound Eyes'],"['Bug', 'Flying']","['Fire', 'Flying', 'Electric', 'Ice', 'Rock']","{'HP': 4, 'Attack': 3, 'Defense': 3, 'Special Attack': 6, 'Special Defense': 5, 'Speed': 5}"
12,13,Weedle,https://assets.pokemon.com/assets/cms2/img/pokedex/full/013.png,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.,"1' 00""",7.1 lbs,Hairy Bug,['Shield Dust'],"['Bug', 'Poison']","['Fire', 'Psychic', 'Flying', 'Rock']","{'HP': 3, 'Attack': 3, 'Defense': 2, 'Special Attack': 2, 'Special Defense': 2, 'Speed': 3}"
13,14,Kakuna,https://assets.pokemon.com/assets/cms2/img/pokedex/full/014.png,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy.","2' 00""",22.0 lbs,Cocoon,['Shed Skin'],"['Bug', 'Poison']","['Fire', 'Psychic', 'Flying', 'Rock']","{'HP': 3, 'Attack': 2, 'Defense': 3, 'Special Attack': 2, 'Special Defense': 2, 'Speed': 3}"
14,15,Beedrill,https://assets.pokemon.com/assets/cms2/img/pokedex/full/015.png,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,"3' 03""",65.0 lbs,Poison Bee,['Swarm'],"['Bug', 'Poison']","['Fire', 'Psychic', 'Flying', 'Rock']","{'HP': 4, 'Attack': 6, 'Defense': 3, 'Special Attack': 3, 'Special Defense': 5, 'Speed': 5}"
15,16,Pidgey,https://assets.pokemon.com/assets/cms2/img/pokedex/full/016.png,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.","1' 00""",4.0 lbs,Tiny Bird,"['Keen Eye', 'Tangled Feet']","['Normal', 'Flying']","['Electric', 'Ice', 'Rock']","{'HP': 3, 'Attack': 3, 'Defense': 3, 'Special Attack': 3, 'Special Defense': 3, 'Speed': 4}"
16,17,Pidgeotto,https://assets.pokemon.com/assets/cms2/img/pokedex/full/017.png,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.,"3' 07""",66.1 lbs,Bird,"['Keen Eye', 'Tangled Feet']","['Normal', 'Flying']","['Electric', 'Ice', 'Rock']","{'HP': 4, 'Attack': 4, 'Defense': 4, 'Special Attack': 3, 'Special Defense': 3, 'Speed': 5}"
17,18,Pidgeot,https://assets.pokemon.com/assets/cms2/img/pokedex/full/018.png,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons.","4' 11""",87.1 lbs,Bird,"['Keen Eye', 'Tangled Feet']","['Normal', 'Flying']","['Electric', 'Ice', 'Rock']","{'HP': 5, 'Attack': 5, 'Defense': 5, 'Special Attack': 5, 'Special Defense': 5, 'Speed': 6}"
18,19,Rattata,https://assets.pokemon.com/assets/cms2/img/pokedex/full/019.png,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area.","1' 00""",7.7 lbs,Mouse,"['Run Away', 'Guts']",['Normal'],['Fighting'],"{'HP': 2, 'Attack': 4, 'Defense': 3, 'Special Attack': 2, 'Special Defense': 3, 'Speed': 5}"
19,20,Raticate,https://assets.pokemon.com/assets/cms2/img/pokedex/full/020.png,"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey.","2' 04""",40.8 lbs,Mouse,"['Run Away', 'Guts']",['Normal'],['Fighting'],"{'HP': 4, 'Attack': 5, 'Defense': 4, 'Special Attack': 3, 'Special Defense': 5, 'Speed': 6}"
20,21,Spearow,https://assets.pokemon.com/assets/cms2/img/pokedex/full/021.png,"Inept at flying high. However, it can fly around very fast to protect its territory.","1' 00""",4.4 lbs,Tiny Bird,['Keen Eye'],"['Normal', 'Flying']","['Electric', 'Ice', 'Rock']","{'HP': 3, 'Attack': 4, 'Defense': 2, 'Special Attack': 2, 'Special Defense': 2, 'Speed': 5}"
21,22,Fearow,https://assets.pokemon.com/assets/cms2/img/pokedex/full/022.png,"A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly.","3' 11""",83.8 lbs,Beak,['Keen Eye'],"['Normal', 'Flying']","['Electric', 'Ice', 'Rock']","{'HP': 4, 'Attack': 6, 'Defense': 4, 'Special Attack': 4, 'Special Defense': 4, 'Speed': 6}"
